user,registration-date,end-date,premium,daily_limit,searches_today,last_search_date
-1002016002929,2025-07-02,2100-01-01,y,100,0,
5486349822,2025-07-03,2025-10-11,y,100,103,
5312573523,2025-07-03,2025-10-11,y,15,1,2025-07-03
7806568162,2025-07-03,2025-10-11,y,15,0,
